name,gss_code,alt_names
Adur,E07000223,Adur
Amber Valley,E07000032,Amber Valley
Arun,E07000224,Arun
Ashford,E07000105,Ashford
Ashfield,E07000170,Ashfield
Babergh,E07000200,Babergh
Bassetlaw,E07000171,Bassetlaw
Basildon,E07000066,"Basildon,basildon,basildon borough council,basildon district"
Basingstoke and Deane,E07000084,"Basingstoke and Deane,Basingstoke & Deane"
Bath and North East Somerset,E06000022,"Bath and North East Somerset,Bath & North East Somerset UA,bath and north east somerset,bath and north east somerset council"
Blackburn with Darwen,E06000008,"Blackburn with Darwen,Blackburn With Darwen UA,blackburn,blackburn with darwen,blackburn with darwen borough council"
Bedford,E06000055,"Bedford,Bedford UA,bedford,bedford borough council"
Barking and Dagenham,E09000002,"Barking and Dagenham,Barking & Dagenham,barking and dagenham,barking and dagenham london boro,london borough of barking and dagenham"
Brent,E09000005,"Brent,brent,brent london boro,london borough of brent"
Bexley,E09000004,"Bexley,bexley,bexley london boro,london borough of bexley"
Birmingham,E08000025,"Birmingham,birmingham,birmingham city council,birmingham district"
Blaby,E07000129,Blaby
Barnet,E09000003,Barnet
Brighton and Hove,E06000043,"Brighton and Hove,Brighton & Hove UA,brighton and hove,brighton and hove city council,city of brighton and hove,the city of brighton and hove"
Barnsley,E08000016,"Barnsley,barnsley,barnsley district,barnsley metropolitan borough council"
Bolton,E08000001,"Bolton,bolton,bolton district,bolton metropolitan borough council"
Bolsover,E07000033,Bolsover
Boston,E07000136,Boston
"Bournemouth, Christchurch and Poole",E06000058,"Bournemouth, Christchurch and Poole,Bournemouth Christchurch and Poole,bournemouth, christchurch and poole borough council"
Blackpool,E06000009,"Blackpool,Blackpool UA,blackpool,blackpool borough council"
Braintree,E07000067,"Braintree,braintree,braintree district,braintree district council"
Bracknell Forest,E06000036,"Bracknell Forest,Bracknell Forest UA"
Bradford,E08000032,"Bradford,bradford,bradford district,bradford mdc,bradford metropolitan district council"
Breckland,E07000143,Breckland
Bromsgrove,E07000234,"Bromsgrove,bromsgrove,bromsgrove district,bromsgrove district council"
Broadland,E07000144,"Broadland,broadland,broadland district,broadland district council"
Broxtowe,E07000172,Broxtowe
Brentwood,E07000068,Brentwood
Broxbourne,E07000095,"Broxbourne,borough of broxbourne"
Bromley,E09000006,"Bromley,bromley,bromley london boro,london borough of bromley"
City of Bristol,E06000023,"City of Bristol,Bristol, City of,Bristol UA,bristol,bristol city council,bristol city of,bristol, city of,city of bristol"
Buckinghamshire,E06000060,"Buckinghamshire,buckinghamshire"
Burnley,E07000117,Burnley
Bury,E08000002,"Bury,bury,bury district,bury metropolitan borough council"
Cambridge,E07000008,Cambridge
Cambridgeshire,E10000003,"Cambridgeshire,cambridgeshire,cambridgeshire county,cambridgeshire county council"
Cannock Chase,E07000192,Cannock Chase
Castle Point,E07000069,Castle Point
Canterbury,E07000106,Canterbury
Cumberland,E06000063,"Cumberland,cumberland"
Central Bedfordshire,E06000056,"Central Bedfordshire,Central Bedfordshire UA,central bedfordshire,central bedfordshire council"
Charnwood,E07000130,Charnwood
Cheshire East,E06000049,"Cheshire East,Cheshire East UA"
Chichester,E07000225,"Chichester,chichester,chichester district,chichester district council"
Chelmsford,E07000070,"Chelmsford,chelmsford,chelmsford city council,chelmsford district"
Chorley,E07000118,Chorley
Cherwell,E07000177,Cherwell
Chesterfield,E07000034,Chesterfield
Cheltenham,E07000078,"Cheltenham,cheltenham,cheltenham borough council,cheltenham district"
Cheshire West and Chester,E06000050,"Cheshire West and Chester,Cheshire West And Chester UA"
Calderdale,E08000033,"Calderdale,calderdale,calderdale district,calderdale metropolitan borough council"
Camden,E09000007,"Camden,camden,camden london boro,london borough of camden"
Colchester,E07000071,Colchester
Cornwall,E06000052,"Cornwall,Cornwall UA,cornwall,cornwall council"
Cotswold,E07000079,Cotswold
Coventry,E08000026,"Coventry,coventry,coventry city council,coventry district"
Cambridgeshire and Peterborough,E47000008,Cambridgeshire and Peterborough CA
Crawley,E07000226,"Crawley,crawley,crawley borough council,crawley district"
Croydon,E09000008,"Croydon,croydon,croydon london boro,london borough of croydon"
Dacorum,E07000096,Dacorum
Darlington,E06000005,"Darlington,Darlington UA,darlington,darlington borough council"
Dartford,E07000107,Dartford
Derbyshire,E10000007,"Derbyshire,derbyshire,derbyshire county,derbyshire county council"
Derbyshire Dales,E07000035,Derbyshire Dales
Derby,E06000015,"Derby,Derby City UA,Derby UA,city of derby,derby,derby city,derby city council"
Devon,E10000008,"Devon,devon,devon county,devon county council"
Doncaster,E08000017,"Doncaster,doncaster,doncaster district,doncaster metropolitan borough council,city of doncaster council,city of doncaster,doncaster city council,doncaster city"
Dover,E07000108,Dover
Dorset Council,E06000059,"Dorset Council,Dorset,dorset"
Dudley,E08000027,"Dudley,dudley,dudley district,dudley metropolitan borough council"
County Durham,E06000047,"County Durham,Durham,Durham UA,county durham,durham,durham county council"
Ealing,E09000009,"Ealing,ealing,ealing london boro,london borough of ealing"
Eastbourne,E07000061,Eastbourne
Eastleigh,E07000086,Eastleigh
East Cambridgeshire,E07000009,East Cambridgeshire
East Devon,E07000040,"East Devon,east devon,east devon district,east devon district council"
East Hampshire,E07000085,"East Hampshire,east hampshire,east hampshire district,east hampshire district council"
East Hertfordshire,E07000242,"East Hertfordshire,east hertfordshire,east hertfordshire district,east hertfordshire district council"
East Lindsey,E07000137,"East Lindsey,east lindsey,east lindsey district,east lindsey district council"
Elmbridge,E07000207,Elmbridge
East Midlands CCA,E47000013,East Midlands CC
Enfield,E09000010,"Enfield,enfield,enfield london boro,london borough of enfield"
Epping Forest,E07000072,Epping Forest
Epsom and Ewell,E07000208,"Epsom and Ewell,Epsom & Ewell"
Erewash,E07000036,Erewash
East Riding of Yorkshire,E06000011,"East Riding of Yorkshire,East Riding Of Yorkshire UA,east riding of yorkshire,east riding of yorkshire council"
East Suffolk,E07000244,East Suffolk
Essex,E10000012,"Essex,essex,essex county,essex county council"
East Staffordshire,E07000193,"East Staffordshire,east staffordshire,east staffordshire borough council,east staffordshire district"
East Sussex,E10000011,"East Sussex,east sussex,east sussex county,east sussex county council"
Exeter,E07000041,Exeter
Fareham,E07000087,Fareham
Fenland,E07000010,Fenland
Forest of Dean,E07000080,Forest of Dean
Fylde,E07000119,Fylde
Gateshead,E08000037,"Gateshead,gateshead,gateshead district,gateshead metropolitan borough council"
Gedling,E07000173,Gedling
Greater London,E61000001,"Greater London,greater london"
Greater Lincolnshire CCA,E47000017,Greater Lincolnshire CA
Gloucester,E07000081,Gloucester
Gloucestershire,E10000013,"Gloucestershire,gloucestershire,gloucestershire county,gloucestershire county council"
