ward,d1_pop_0015,d2_youth_density_km2,d3_idaci_popweighted,area_km2,pitch_sites_weighted,pitch_capacity_weighted,schools_weighted,s1_pitches_per_1k_children,s3_schools_per_1k_children,readiness_indicators,z_d1,z_d2,z_d3,demand_index,z_s1,z_s3,readiness_index,need_weighted,provision_per_1k_weighted,gap_w,quadrant,quadrant_label,quadrant_action
Baildon,2439,189.7,6.8,12.86,0,0,0,0.0,0.0,S3,-1.319,-0.881,-1.466,-1.222,0.0,-1.111,-0.556,841.0,0.0,0.0059,Q4,Monitor,Low current need; revisit as demographics shift
Bingley,3141,155.7,11.2,20.18,0,0,0,0.0,0.0,S3,-0.81,-0.927,-0.967,-0.901,0.0,-1.111,-0.556,1783.9,0.0,0.0126,Q4,Monitor,Low current need; revisit as demographics shift
Bingley Rural,3583,98.7,10.6,36.31,0,0,0,0.0,0.0,S3,-0.49,-1.004,-1.035,-0.843,0.0,-1.111,-0.556,1926.0,0.0,0.0136,Q4,Monitor,Low current need; revisit as demographics shift
Bolton and Undercliffe,5873,1399.8,21.4,4.2,0,0,15.0,0.0,2.55,S3,1.17,0.761,0.191,0.707,0.0,0.769,0.385,6373.3,0.0,0.0449,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Bowling and Barkerend,6399,1060.7,29.8,6.03,0,0,19.0,0.0,2.97,S3,1.552,0.301,1.144,0.999,0.0,1.079,0.54,9669.9,0.0,0.0681,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Bradford Moor,6207,2385.7,28.9,2.6,0,0,12.5,0.0,2.01,S3,1.413,2.098,1.042,1.517,0.0,0.371,0.185,9096.5,0.0,0.0641,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
City,6448,1379.6,24.0,4.67,0,0,15.5,0.0,2.4,S3,1.587,0.733,0.486,0.935,0.0,0.659,0.329,7847.5,0.0,0.0553,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Clayton and Fairweather Green,4605,768.7,22.4,5.99,0,0,11.0,0.0,2.39,S3,0.251,-0.095,0.304,0.153,0.0,0.651,0.326,5230.8,0.0,0.0368,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Craven,2903,58.0,5.7,50.07,0,0,0,0.0,0.0,S3,-0.983,-1.059,-1.591,-1.211,0.0,-1.111,-0.556,839.1,0.0,0.0059,Q4,Monitor,Low current need; revisit as demographics shift
Eccleshill,4826,1240.0,28.8,3.89,0,0,11.5,0.0,2.38,S3,0.411,0.544,1.031,0.662,0.0,0.644,0.322,7048.1,0.0,0.0496,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Great Horton,5261,1597.6,27.5,3.29,0,0,16.5,0.0,3.14,S3,0.727,1.029,0.883,0.88,0.0,1.204,0.602,7336.6,0.0,0.0517,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Heaton,5165,934.9,21.2,5.52,0,0,11.5,0.0,2.23,S3,0.657,0.13,0.168,0.318,0.0,0.533,0.267,5552.6,0.0,0.0391,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Idle and Thackley,3612,398.8,10.3,9.06,0,0,5.5,0.0,1.52,S3,-0.469,-0.597,-1.069,-0.712,0.0,0.01,0.005,1886.6,0.0,0.0133,Q4,Monitor,Low current need; revisit as demographics shift
Ilkley,2471,130.8,4.4,18.89,0,0,0,0.0,0.0,S3,-1.296,-0.961,-1.739,-1.332,0.0,-1.111,-0.556,551.3,0.0,0.0039,Q4,Monitor,Low current need; revisit as demographics shift
Keighley Central,4603,755.4,23.4,6.09,0,0,0,0.0,0.0,S3,0.25,-0.113,0.418,0.185,0.0,-1.111,-0.556,5462.0,0.0,0.0385,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Keighley East,3754,164.1,18.4,22.88,0,0,0,0.0,0.0,S3,-0.366,-0.915,-0.15,-0.477,0.0,-1.111,-0.556,3502.7,0.0,0.0247,Q4,Monitor,Low current need; revisit as demographics shift
Keighley West,3795,498.9,28.6,7.61,0,0,0,0.0,0.0,S3,-0.336,-0.461,1.008,0.07,0.0,-1.111,-0.556,5503.9,0.0,0.0388,Q4,Monitor,Low current need; revisit as demographics shift
