ward,d1_pop_0015,d2_youth_density_km2,d3_idaci_popweighted,area_km2,pitch_sites_weighted,pitch_capacity_weighted,schools_weighted,s1_pitches_per_1k_children,s3_schools_per_1k_children,readiness_indicators,z_d1,z_d2,z_d3,demand_index,z_s1,z_s3,readiness_index,need_weighted,provision_per_1k_weighted,gap_w,quadrant,quadrant_label,quadrant_action
Avenue,1988,927.8,19.4,2.14,0,0,7.5,0.0,3.77,S3,-0.4,0.301,-0.63,-0.243,0.0,0.745,0.372,1433.3,0.0,0.0261,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Beverley,1063,451.1,10.3,2.36,0,0,4.5,0.0,4.23,S3,-1.708,-1.142,-1.393,-1.414,0.0,1.041,0.52,406.9,0.0,0.0074,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Boothferry,2172,962.9,15.4,2.26,0,0,3.0,0.0,1.38,S3,-0.14,0.407,-0.965,-0.233,0.0,-0.795,-0.397,1243.0,0.0,0.0227,Q4,Monitor,Low current need; revisit as demographics shift
Bransholme East,2977,696.5,40.0,4.27,0,0,0,0.0,0.0,S3,0.998,-0.399,1.098,0.566,0.0,-1.684,-0.842,4425.3,0.0,0.0806,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Bransholme West,1812,981.3,47.2,1.85,0,0,5.0,0.0,2.76,S3,-0.649,0.463,1.702,0.505,0.0,0.094,0.047,3178.4,0.0,0.0579,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Bricknell,1456,526.1,10.6,2.77,0,0,7.0,0.0,4.81,S3,-1.152,-0.915,-1.368,-1.145,0.0,1.414,0.707,573.6,0.0,0.0105,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Derringham,1971,966.8,18.3,2.04,0,0,2.5,0.0,1.27,S3,-0.424,0.419,-0.722,-0.242,0.0,-0.866,-0.433,1340.4,0.0,0.0244,Q4,Monitor,Low current need; revisit as demographics shift
Drypool,2142,534.7,27.8,4.01,0,0,6.5,0.0,3.03,S3,-0.182,-0.889,0.075,-0.332,0.0,0.268,0.134,2213.0,0.0,0.0403,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Holderness,2189,490.6,9.4,4.46,0,0,8.5,0.0,3.88,S3,-0.116,-1.022,-1.469,-0.869,0.0,0.815,0.408,764.7,0.0,0.0139,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Ings,1980,571.4,16.4,3.47,0,0,6.5,0.0,3.28,S3,-0.411,-0.778,-0.882,-0.69,0.0,0.429,0.215,1206.7,0.0,0.022,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Kings Park,3241,712.6,5.1,4.55,0,0,2.0,0.0,0.62,S3,1.371,-0.35,-1.829,-0.27,0.0,-1.284,-0.642,614.3,0.0,0.0112,Q4,Monitor,Low current need; revisit as demographics shift
Longhill,2737,1104.5,36.0,2.48,0,0,0,0.0,0.0,S3,0.659,0.836,0.763,0.752,0.0,-1.684,-0.842,3661.7,0.0,0.0667,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Marfleet,3435,400.7,40.2,8.57,0,0,5.5,0.0,1.6,S3,1.645,-1.294,1.115,0.489,0.0,-0.653,-0.327,5131.7,0.0,0.0935,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Myton,2780,598.4,37.4,4.65,0,0,12.0,0.0,4.32,S3,0.719,-0.696,0.88,0.301,0.0,1.099,0.549,3863.9,0.0,0.0704,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Newington,2861,1215.8,28.3,2.35,0,0,6.5,0.0,2.27,S3,0.834,1.172,0.117,0.708,0.0,-0.222,-0.111,3008.9,0.0,0.0548,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Newland,1722,859.6,23.8,2.0,0,0,7.5,0.0,4.36,S3,-0.776,0.094,-0.261,-0.314,0.0,1.125,0.562,1523.1,0.0,0.0278,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Orchard Park and Greenwood,4227,1749.8,42.3,2.42,0,0,3.0,0.0,0.71,S3,2.765,2.788,1.291,2.281,0.0,-1.226,-0.613,6644.8,0.0,0.1211,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Pickering,2072,535.1,34.8,3.87,0,0,1.0,0.0,0.48,S3,-0.281,-0.888,0.662,-0.169,0.0,-1.374,-0.687,2679.6,0.0,0.0488,Q4,Monitor,Low current need; revisit as demographics shift
Southcoates East,1878,958.7,39.9,1.96,0,0,6.0,0.0,3.19,S3,-0.556,0.394,1.09,0.31,0.0,0.371,0.186,2784.7,0.0,0.0507,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Southcoates West,1380,1520.6,27.5,0.91,0,0,4.0,0.0,2.9,S3,-1.259,2.095,0.05,0.295,0.0,0.184,0.092,1410.3,0.0,0.0257,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
St Andrew's,2068,731.3,38.2,2.83,0,0,4.5,0.0,2.18,S3,-0.287,-0.294,0.947,0.122,0.0,-0.279,-0.14,2935.8,0.0,0.0535,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Sutton,2111,752.5,23.7,2.81,0,0,9.0,0.0,4.26,S3,-0.226,-0.23,-0.269,-0.242,0.0,1.06,0.53,1859.3,0.0,0.0339,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
University,1972,803.9,26.9,2.45,0,0,9.5,0.0,4.82,S3,-0.423,-0.074,-0.001,-0.166,0.0,1.421,0.71,1971.4,0.0,0.0359,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
