ward,d1_pop_0015,d2_youth_density_km2,d3_idaci_popweighted,area_km2,pitch_sites_weighted,pitch_capacity_weighted,schools_weighted,s1_pitches_per_1k_children,s3_schools_per_1k_children,readiness_indicators,z_d1,z_d2,z_d3,demand_index,z_s1,z_s3,readiness_index,quadrant,quadrant_label,quadrant_action
Abbey,4741,851.9,57.9,5.57,0,0,11.0,0.0,2.32,"S1,S3",0.968,-0.689,0.709,0.329,-0.792,-0.651,-0.721,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Aylestone,2433,622.9,39.7,3.91,0,0,5.5,0.0,2.26,"S1,S3",-1.193,-1.006,-1.107,-1.102,-0.792,-0.713,-0.752,Q4,Monitor,Low current need; revisit as demographics shift
Beaumont Leys,5145,534.0,49.9,9.64,5.0,18.0,13.5,0.97,2.62,"S1,S3",1.346,-1.129,-0.089,0.043,2.867,-0.34,1.263,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Belgrave,3611,1842.5,46.7,1.96,0,0,13.0,0.0,3.6,"S1,S3",-0.09,0.682,-0.408,0.061,-0.792,0.673,-0.06,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Braunstone Park & Rowley Fields,4921,1098.7,60.8,4.48,1.0,8.0,11.5,0.2,2.34,"S1,S3",1.136,-0.347,0.998,0.596,-0.038,-0.63,-0.334,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Castle,1929,506.2,45.8,3.81,0,0,11.0,0.0,5.7,"S1,S3",-1.665,-1.167,-0.498,-1.11,-0.792,2.845,1.026,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Evington,3715,719.4,46.8,5.16,2.5,43.0,12.5,0.67,3.36,"S1,S3",0.007,-0.872,-0.398,-0.421,1.735,0.425,1.08,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Eyres Monsell,2972,1355.3,64.2,2.19,0,0,6.0,0.0,2.02,"S1,S3",-0.689,0.008,1.337,0.219,-0.792,-0.961,-0.876,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Fosse,3529,1844.3,53.5,1.91,0,0,9.0,0.0,2.55,"S1,S3",-0.167,0.685,0.27,0.262,-0.792,-0.413,-0.602,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Humberstone & Hamilton,5124,1501.8,41.3,3.41,0.5,1.0,11.0,0.1,2.15,"S1,S3",1.326,0.211,-0.947,0.197,-0.415,-0.826,-0.621,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Knighton,3368,718.0,21.4,4.69,1.0,4.0,12.5,0.3,3.71,"S1,S3",-0.318,-0.874,-2.932,-1.375,0.34,0.787,0.563,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
North Evington,5484,2555.6,55.9,2.15,0.5,3.0,15.5,0.09,2.83,"S1,S3",1.663,1.669,0.509,1.281,-0.453,-0.123,-0.288,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Rushey Mead,3047,806.9,44.4,3.78,2.0,2.0,11.5,0.66,3.77,"S1,S3",-0.618,-0.751,-0.638,-0.669,1.698,0.849,1.273,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Saffron,2465,1235.8,67.0,1.99,0.5,2.0,7.5,0.2,3.04,"S1,S3",-1.163,-0.158,1.616,0.098,-0.038,0.094,0.028,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Spinney Hills,2867,2503.7,57.6,1.15,1.0,6.0,13.0,0.35,4.53,"S1,S3",-0.787,1.597,0.679,0.496,0.528,1.635,1.082,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Stoneygate,4677,2095.9,59.1,2.23,0,0,14.0,0.0,2.99,"S1,S3",0.908,1.033,0.828,0.923,-0.792,0.042,-0.375,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Thurncourt,2659,1323.2,44.0,2.01,1.0,8.0,3.5,0.38,1.32,"S1,S3",-0.982,-0.037,-0.678,-0.565,0.641,-1.685,-0.522,Q4,Monitor,Low current need; revisit as demographics shift
Troon,3729,754.0,46.9,4.95,1.0,2.0,8.0,0.27,2.15,"S1,S3",0.02,-0.824,-0.388,-0.398,0.226,-0.826,-0.3,Q4,Monitor,Low current need; revisit as demographics shift
Westcotes,2316,1393.2,47.0,1.66,0.5,4.0,5.5,0.22,2.37,"S1,S3",-1.303,0.06,-0.379,-0.54,0.038,-0.599,-0.281,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Western,5100,926.1,57.5,5.51,0,0,12.5,0.0,2.45,"S1,S3",1.304,-0.586,0.669,0.462,-0.792,-0.516,-0.654,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Wycliffe,4023,3152.5,59.3,1.28,0,0,15.5,0.0,3.85,"S1,S3",0.296,2.496,0.848,1.213,-0.792,0.932,0.07,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
