ward,d1_pop_0015,d2_youth_density_km2,d3_idaci_popweighted,area_km2,pitch_sites_weighted,pitch_capacity_weighted,schools_weighted,s1_pitches_per_1k_children,s3_schools_per_1k_children,readiness_indicators,z_d1,z_d2,z_d3,demand_index,z_s1,z_s3,readiness_index,need_weighted,provision_per_1k_weighted,gap_w,quadrant,quadrant_label,quadrant_action
Allerton and Hunts Cross,2643,416.3,14.6,6.35,0,0,0,0.0,0.0,S3,-0.287,-1.205,-0.999,-0.831,0.0,-1.022,-0.511,1496.4,0.0,0.016,Q4,Monitor,Low current need; revisit as demographics shift
Anfield,3076,1318.6,38.0,2.33,0,0,6.0,0.0,1.95,S3,0.165,1.065,1.09,0.774,0.0,-0.019,-0.01,4532.9,0.0,0.0485,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Belle Vale,2688,568.4,30.3,4.73,0,0,0,0.0,0.0,S3,-0.24,-0.823,0.403,-0.22,0.0,-1.022,-0.511,3158.5,0.0,0.0338,Q4,Monitor,Low current need; revisit as demographics shift
Central,1150,355.3,19.1,3.24,0,0,9.0,0.0,7.83,S3,-1.847,-1.359,-0.597,-1.268,0.0,3.004,1.502,851.8,0.0,0.0091,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Childwall,2655,844.3,9.6,3.14,0,0,2.0,0.0,0.75,S3,-0.275,-0.128,-1.445,-0.616,0.0,-0.636,-0.318,988.4,0.0,0.0106,Q4,Monitor,Low current need; revisit as demographics shift
Church,2759,799.8,5.1,3.45,0,0,0.5,0.0,0.18,S3,-0.166,-0.24,-1.847,-0.751,0.0,-0.929,-0.465,545.7,0.0,0.0058,Q4,Monitor,Low current need; revisit as demographics shift
Clubmoor,3529,1242.4,35.7,2.84,0,0,5.5,0.0,1.56,S3,0.638,0.874,0.885,0.799,0.0,-0.22,-0.11,4885.7,0.0,0.0522,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
County,2769,1447.3,43.3,1.91,0,0,9.0,0.0,3.25,S3,-0.156,1.389,1.564,0.932,0.0,0.649,0.325,4649.6,0.0,0.0497,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Cressington,3004,950.0,11.5,3.16,0,0,0,0.0,0.0,S3,0.09,0.138,-1.276,-0.349,0.0,-1.022,-0.511,1339.7,0.0,0.0143,Q4,Monitor,Low current need; revisit as demographics shift
Croxteth,2558,484.7,24.2,5.28,0,0,0,0.0,0.0,S3,-0.376,-1.033,-0.142,-0.517,0.0,-1.022,-0.511,2400.6,0.0,0.0257,Q4,Monitor,Low current need; revisit as demographics shift
Everton,3881,1088.6,35.6,3.57,0,0,14.5,0.0,3.74,S3,1.006,0.486,0.876,0.79,0.0,0.901,0.45,5357.9,0.0,0.0573,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Fazakerley,3610,599.8,26.9,6.02,0,0,0,0.0,0.0,S3,0.723,-0.744,0.099,0.026,0.0,-1.022,-0.511,3765.9,0.0,0.0403,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Greenbank,1364,642.8,16.5,2.12,0,0,4.0,0.0,2.93,S3,-1.624,-0.635,-0.829,-1.029,0.0,0.485,0.242,872.8,0.0,0.0093,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Kensington and Fairfield,2363,1174.4,33.9,2.01,0,0,8.0,0.0,3.39,S3,-0.58,0.702,0.724,0.282,0.0,0.721,0.361,3106.5,0.0,0.0332,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Kirkdale,2479,405.6,40.1,6.11,0,0,8.5,0.0,3.43,S3,-0.459,-1.232,1.278,-0.138,0.0,0.742,0.371,3855.0,0.0,0.0412,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Knotty Ash,2633,760.2,27.7,3.46,0,0,5.0,0.0,1.9,S3,-0.298,-0.34,0.171,-0.156,0.0,-0.045,-0.022,2828.4,0.0,0.0302,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Mossley Hill,1831,580.2,6.0,3.16,0,0,0,0.0,0.0,S3,-1.136,-0.793,-1.767,-1.232,0.0,-1.022,-0.511,426.0,0.0,0.0046,Q4,Monitor,Low current need; revisit as demographics shift
Norris Green,4512,1710.4,31.1,2.64,0,0,1.0,0.0,0.22,S3,1.665,2.051,0.474,1.397,0.0,-0.909,-0.454,5441.7,0.0,0.0582,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Old Swan,2748,1095.1,30.0,2.51,0,0,9.5,0.0,3.46,S3,-0.178,0.503,0.376,0.234,0.0,0.757,0.379,3197.0,0.0,0.0342,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Picton,5531,1821.6,32.7,3.04,0,0,13.5,0.0,2.44,S3,2.73,2.331,0.617,1.893,0.0,0.233,0.116,7013.8,0.0,0.075,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Princes Park,3828,1581.1,40.7,2.42,0,0,15.0,0.0,3.92,S3,0.951,1.726,1.331,1.336,0.0,0.994,0.497,6041.9,0.0,0.0646,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Riverside,2530,671.4,36.6,3.77,0,0,11.5,0.0,4.55,S3,-0.405,-0.563,0.965,-0.001,0.0,1.317,0.659,3590.9,0.0,0.0384,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Speke-Garston,4997,405.9,35.9,12.31,0,0,0,0.0,0.0,S3,2.172,-1.232,0.903,0.615,0.0,-1.022,-0.511,6956.8,0.0,0.0744,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
St Michael's,1815,552.7,20.4,3.28,0,0,8.0,0.0,4.41,S3,-1.153,-0.862,-0.481,-0.832,0.0,1.245,0.623,1435.9,0.0,0.0154,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Tuebrook and Stoneycroft,2929,1139.2,36.0,2.57,0,0,12.5,0.0,4.27,S3,0.011,0.614,0.912,0.512,0.0,1.173,0.587,4089.1,0.0,0.0437,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Warbreck,3066,991.7,26.9,3.09,0,0,4.0,0.0,1.3,S3,0.155,0.243,0.099,0.166,0.0,-0.353,-0.177,3198.4,0.0,0.0342,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Wavertree,2633,906.2,14.3,2.91,0,0,8.0,0.0,3.04,S3,-0.298,0.027,-1.026,-0.432,0.0,0.541,0.271,1460.1,0.0,0.0156,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
West Derby,2267,728.6,13.0,3.11,0,0,2.5,0.0,1.1,S3,-0.68,-0.419,-1.142,-0.747,0.0,-0.456,-0.228,1142.9,0.0,0.0122,Q4,Monitor,Low current need; revisit as demographics shift
Woolton,1971,525.0,8.6,3.75,0,0,0,0.0,0.0,S3,-0.99,-0.932,-1.534,-1.152,0.0,-1.022,-0.511,657.3,0.0,0.007,Q4,Monitor,Low current need; revisit as demographics shift
Yew Tree,3723,1051.3,29.3,3.54,0,0,0,0.0,0.0,S3,0.841,0.393,0.314,0.516,0.0,-1.022,-0.511,4230.2,0.0,0.0452,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
