ward,d1_pop_0015,d2_youth_density_km2,d3_idaci_popweighted,area_km2,pitch_sites_weighted,pitch_capacity_weighted,schools_weighted,s1_pitches_per_1k_children,s3_schools_per_1k_children,readiness_indicators,z_d1,z_d2,z_d3,demand_index,z_s1,z_s3,readiness_index,need_weighted,provision_per_1k_weighted,gap_w,quadrant,quadrant_label,quadrant_action
Ancoats and Clayton,3678,830.2,33.8,4.43,0,0,9.5,0.0,2.58,S3,0.125,-0.523,0.832,0.144,0.0,0.619,0.309,4758.0,0.0,0.0394,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Ardwick,3928,960.4,27.8,4.09,0,0,13.0,0.0,3.31,S3,0.319,-0.286,0.181,0.071,0.0,1.079,0.539,4179.3,0.0,0.0346,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Baguley,2417,632.4,30.8,3.82,0,0,0,0.0,0.0,S3,-0.851,-0.884,0.506,-0.41,0.0,-1.008,-0.504,2849.2,0.0,0.0236,Q4,Monitor,Low current need; revisit as demographics shift
Bradford,4351,842.5,27.9,5.16,0,0,13.0,0.0,2.99,S3,0.646,-0.501,0.192,0.112,0.0,0.877,0.439,4646.1,0.0,0.0385,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Brooklands,3847,926.4,25.2,4.15,0,0,0,0.0,0.0,S3,0.256,-0.348,-0.101,-0.064,0.0,-1.008,-0.504,3710.3,0.0,0.0307,Q4,Monitor,Low current need; revisit as demographics shift
Burnage,3795,1636.1,28.8,2.32,0,0,0,0.0,0.0,S3,0.216,0.945,0.29,0.483,0.0,-1.008,-0.504,4183.1,0.0,0.0347,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Charlestown,4042,1129.3,33.4,3.58,0,0,0.5,0.0,0.12,S3,0.407,0.022,0.788,0.406,0.0,-0.932,-0.466,5167.0,0.0,0.0428,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Cheetham,5846,1243.1,29.3,4.7,0,0,14.0,0.0,2.39,S3,1.804,0.229,0.344,0.792,0.0,0.499,0.249,6555.7,0.0,0.0543,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Chorlton,2015,809.0,4.5,2.49,0,0,0.5,0.0,0.25,S3,-1.163,-0.562,-2.345,-1.356,0.0,-0.85,-0.425,347.0,0.0,0.0029,Q4,Monitor,Low current need; revisit as demographics shift
Chorlton Park,3859,804.4,23.3,4.8,0,0,0.5,0.0,0.13,S3,0.265,-0.57,-0.307,-0.204,0.0,-0.926,-0.463,3441.3,0.0,0.0285,Q4,Monitor,Low current need; revisit as demographics shift
City Centre,827,266.7,6.0,3.1,0,0,5.0,0.0,6.05,S3,-2.082,-1.55,-2.182,-1.938,0.0,2.806,1.403,189.9,0.0,0.0016,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Crumpsall,4868,1527.3,20.3,3.19,0,0,11.5,0.0,2.36,S3,1.046,0.747,-0.632,0.387,0.0,0.48,0.24,3782.1,0.0,0.0313,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Didsbury East,2634,744.7,8.5,3.54,0,0,0,0.0,0.0,S3,-0.683,-0.679,-1.911,-1.091,0.0,-1.008,-0.504,856.9,0.0,0.0071,Q4,Monitor,Low current need; revisit as demographics shift
Didsbury West,1590,563.2,5.7,2.82,0,0,0,0.0,0.0,S3,-1.492,-1.01,-2.214,-1.572,0.0,-1.008,-0.504,346.9,0.0,0.0029,Q4,Monitor,Low current need; revisit as demographics shift
Fallowfield,2608,1151.4,28.6,2.27,0,0,9.0,0.0,3.45,S3,-0.703,0.062,0.268,-0.125,0.0,1.167,0.584,2854.7,0.0,0.0237,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Gorton North,5591,1588.1,28.9,3.52,0,0,8.5,0.0,1.52,S3,1.606,0.858,0.3,0.921,0.0,-0.05,-0.025,6184.1,0.0,0.0512,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Gorton South,6110,1843.6,28.1,3.31,0,0,5.5,0.0,0.9,S3,2.008,1.323,0.214,1.182,0.0,-0.44,-0.22,6571.1,0.0,0.0544,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Harpurhey,5206,1364.5,38.2,3.82,0,0,14.0,0.0,2.69,S3,1.308,0.45,1.309,1.022,0.0,0.688,0.344,7611.3,0.0,0.0631,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Higher Blackley,3616,514.2,32.5,7.03,0,0,0.5,0.0,0.14,S3,0.077,-1.099,0.691,-0.111,0.0,-0.92,-0.46,4497.8,0.0,0.0373,Q4,Monitor,Low current need; revisit as demographics shift
Hulme,2477,1035.9,29.1,2.39,0,0,10.0,0.0,4.04,S3,-0.805,-0.149,0.322,-0.21,0.0,1.539,0.769,2758.7,0.0,0.0229,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Levenshulme,3237,1377.3,19.5,2.35,0,0,1.5,0.0,0.46,S3,-0.216,0.473,-0.719,-0.154,0.0,-0.718,-0.359,2415.8,0.0,0.02,Q4,Monitor,Low current need; revisit as demographics shift
Longsight,3534,2357.9,26.2,1.5,0,0,9.0,0.0,2.55,S3,0.013,2.26,0.008,0.76,0.0,0.6,0.3,3543.7,0.0,0.0294,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Miles Platting and Newton Heath,3973,912.5,37.9,4.35,0,0,14.0,0.0,3.52,S3,0.353,-0.374,1.276,0.419,0.0,1.211,0.606,5763.0,0.0,0.0477,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Moss Side,5434,2976.7,39.4,1.83,0,0,11.0,0.0,2.02,S3,1.485,3.388,1.439,2.104,0.0,0.266,0.133,8194.2,0.0,0.0679,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Moston,3445,1113.6,29.3,3.09,0,0,5.0,0.0,1.45,S3,-0.055,-0.007,0.344,0.094,0.0,-0.094,-0.047,3863.2,0.0,0.032,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Northenden,3490,646.8,31.5,5.4,0,0,0,0.0,0.0,S3,-0.021,-0.858,0.582,-0.099,0.0,-1.008,-0.504,4207.5,0.0,0.0349,Q4,Monitor,Low current need; revisit as demographics shift
Old Moat,1445,837.6,31.1,1.73,0,0,2.0,0.0,1.38,S3,-1.604,-0.51,0.539,-0.525,0.0,-0.138,-0.069,1720.0,0.0,0.0142,Q4,Monitor,Low current need; revisit as demographics shift
Rusholme,2551,1291.2,31.0,1.98,0,0,9.5,0.0,3.72,S3,-0.748,0.317,0.528,0.032,0.0,1.337,0.669,3026.7,0.0,0.0251,Q2,Activate existing assets,Fastest wins - demand and infrastructure both present
Sharston,4295,1252.1,33.2,3.43,0,0,0,0.0,0.0,S3,0.603,0.245,0.767,0.538,0.0,-1.008,-0.504,5457.5,0.0,0.0452,Q1,Cold spot - priority,Highest expansion priority; needs venue investment/partnerships before programmes can scale
Whalley Range,2989,1267.2,18.1,2.36,0,0,8.5,0.0,2.84,S3,-0.409,0.273,-0.87,-0.335,0.0,0.782,0.391,2070.6,0.0,0.0172,Q3,Comfortable / saturated,Low priority; existing capacity likely serves current need
Withington,1652,1034.8,15.7,1.6,0,0,0.5,0.0,0.3,S3,-1.444,-0.151,-1.13,-0.908,0.0,-0.819,-0.409,992.7,0.0,0.0082,Q4,Monitor,Low current need; revisit as demographics shift
